t	w	a
0.000000	0.500000	0.200000
0.000100	0.499903	0.200050
0.000200	0.499805	0.200100
0.000300	0.499708	0.200150
0.000400	0.499610	0.200200
0.000500	0.499512	0.200250
0.000600	0.499415	0.200300
0.000700	0.499317	0.200350
0.000800	0.499220	0.200400
0.000900	0.499122	0.200450
0.001000	0.499024	0.200500
0.001100	0.498927	0.200549
0.001200	0.498829	0.200599
0.001300	0.498731	0.200649
0.001400	0.498633	0.200699
0.001500	0.498536	0.200749
0.001600	0.498438	0.200799
0.001700	0.498340	0.200849
0.001800	0.498242	0.200898
0.001900	0.498144	0.200948
0.002000	0.498046	0.200998
0.002100	0.497948	0.201048
0.002200	0.497850	0.201098
0.002300	0.497752	0.201147
0.002400	0.497654	0.201197
0.002500	0.497556	0.201247
0.002600	0.497458	0.201297
0.002700	0.497360	0.201346
0.002800	0.497262	0.201396
0.002900	0.497164	0.201446
0.003000	0.497066	0.201496
0.003100	0.496968	0.201545
0.003200	0.496869	0.201595
0.003300	0.496771	0.201645
0.003400	0.496673	0.201694
0.003500	0.496575	0.201744
0.003600	0.496476	0.201794
0.003700	0.496378	0.201843
0.003800	0.496280	0.201893
0.003900	0.496181	0.201943
0.004000	0.496083	0.201992
0.004100	0.495985	0.202042
0.004200	0.495886	0.202091
0.004300	0.495788	0.202141
0.004400	0.495689	0.202191
0.004500	0.495591	0.202240
0.004600	0.495492	0.202290
0.004700	0.495394	0.202339
0.004800	0.495295	0.202389
0.004900	0.495196	0.202438
0.005000	0.495098	0.202488
0.005100	0.494999	0.202537
0.005200	0.494900	0.202587
0.005300	0.494802	0.202636
0.005400	0.494703	0.202686
0.005500	0.494604	0.202735
0.005600	0.494505	0.202785
0.005700	0.494407	0.202834
0.005800	0.494308	0.202884
0.005900	0.494209	0.202933
0.006000	0.494110	0.202982
0.006100	0.494011	0.203032
0.006200	0.493912	0.203081
0.006300	0.493813	0.203131
0.006400	0.493714	0.203180
0.006500	0.493615	0.203229
0.006600	0.493516	0.203279
0.006700	0.493417	0.203328
0.006800	0.493318	0.203377
0.006900	0.493219	0.203427
0.007000	0.493120	0.203476
0.007100	0.493021	0.203525
0.007200	0.492922	0.203575
0.007300	0.492823	0.203624
0.007400	0.492723	0.203673
0.007500	0.492624	0.203722
